#,"Date Time, GMT-08:00","Temp, °F (LGR S/N: 21901549, SEN S/N: 21895908, LBL: Temp)","RH, % (LGR S/N: 21901549, SEN S/N: 21895908, LBL: RH)","Water Content, m³/m³ (LGR S/N: 21901549, SEN S/N: 21900338, LBL: Water Content)","Solar Radiation, W/m² (LGR S/N: 21901549, SEN S/N: 21903641, LBL: Solar Radiation)","Wind Speed, mph (LGR S/N: 21901549, SEN S/N: 21907852, LBL: Wind Speed)","Gust Speed, mph (LGR S/N: 21901549, SEN S/N: 21907852, LBL: Gust Speed)","Wind Direction, ø (LGR S/N: 21901549, SEN S/N: 21907852, LBL: Wind Direction)","Rain, in (LGR S/N: 21901549, SEN S/N: 21907471, LBL: Rain)"
1,3/8/2024 14:24,66.114,60.818,0.392,509.4,1.5,4.47,261.1,
2,3/8/2024 14:39,66.731,56.788,0.3915,466.9,1.5,3,266.7,0
3,3/8/2024 14:54,66.346,54.487,0.3915,418.1,0.74,2.24,242.9,0
4,3/8/2024 15:09,64.107,59.704,0.3909,343.1,1.5,3.74,268.1,0
5,3/8/2024 15:24,63.219,61.884,0.3915,70.6,0.74,3.74,189.5,0
6,3/8/2024 15:39,62.91,60.745,0.3915,56.9,0.74,3,235.9,0
7,3/8/2024 15:54,62.91,61.5,0.3909,53.1,0.74,3,227.4,0
8,3/8/2024 16:09,62.407,59.362,0.3915,46.9,0.74,3,210.6,0
9,3/8/2024 16:24,62.562,55.828,0.3909,45.6,0,3.74,174.1,0
10,3/8/2024 16:39,62.292,54.81,0.3909,39.4,0,1.5,162.9,0
11,3/8/2024 16:54,62.253,47.03,0.3915,35.6,0,3,123.5,0
12,3/8/2024 17:09,62.137,50.816,0.3909,29.4,0,0,117.9,0
13,3/8/2024 17:24,61.48,53.231,0.3909,21.9,0,1.5,117.9,0
14,3/8/2024 17:39,60.555,61.65,0.3909,13.1,0,1.5,119.3,0
15,3/8/2024 17:54,58.856,68.334,0.3909,4.4,0,0,119.3,0
16,3/8/2024 18:09,57.659,67.427,0.3909,0.6,0,1.5,80,0
17,3/8/2024 18:24,56.539,71.717,0.3902,0.6,0,1.5,16.8,0
18,3/8/2024 18:39,56.502,73.155,0.3895,0.6,0.74,2.24,335.5,0
19,3/8/2024 18:54,55.535,76.405,0.3895,0.6,0.74,2.24,348.2,0
20,3/8/2024 19:09,54.918,76.295,0.3895,0.6,0,1.5,338.3,0
21,3/8/2024 19:24,54.687,77.111,0.3895,0.6,0.74,2.24,36.5,0
22,3/8/2024 19:39,54.995,76.378,0.3895,0.6,0,1.5,30.9,0
23,3/8/2024 19:54,54.455,77.742,0.3895,0.6,0,1.5,67.4,0
24,3/8/2024 20:09,54.532,77.198,0.389,0.6,0.74,2.24,59,0
25,3/8/2024 20:24,54.687,77.267,0.389,0.6,0.74,2.24,32.3,0
26,3/8/2024 20:39,55.227,74.386,0.389,0.6,0,1.5,30.9,0
27,3/8/2024 20:54,54.88,75.792,0.389,0.6,0.74,2.24,22.5,0
28,3/8/2024 21:09,55.459,75.129,0.389,0.6,0,1.5,18.3,0
29,3/8/2024 21:24,55.69,74.766,0.389,0.6,0.74,2.24,4.2,0
30,3/8/2024 21:39,55.922,74.766,0.389,0.6,1.5,3,18.3,0
31,3/8/2024 21:54,55.922,74.476,0.389,0.6,0.74,3,355.2,0
32,3/8/2024 22:09,54.725,78.804,0.389,0.6,0.74,2.24,355.2,0
33,3/8/2024 22:24,54.493,78.75,0.3883,0.6,0.74,1.5,355.2,0
34,3/8/2024 22:39,55.265,76.222,0.389,0.6,0.74,1.5,355.2,0
35,3/8/2024 22:54,54.648,78.158,0.3883,0.6,1.5,3,2.8,0
36,3/8/2024 23:09,54.725,77.925,0.3883,0.6,1.5,3,355.2,0
37,3/8/2024 23:24,54.918,76.474,0.3883,0.6,0.74,2.24,1.4,0
38,3/8/2024 23:39,54.802,75.778,0.3883,0.6,1.5,2.24,5.6,0
39,3/8/2024 23:54,54.918,75.416,0.3883,0.6,0.74,2.24,7,0
40,3/9/2024 0:09,54.185,77.417,0.389,0.6,0.74,2.24,353.8,0
41,3/9/2024 0:24,54.03,77.606,0.389,0.6,0.74,2.24,353.8,0
42,3/9/2024 0:39,53.451,79.687,0.389,0.6,0,0.74,353.8,0
43,3/9/2024 0:54,53.49,79.271,0.3883,0.6,0.74,2.24,355.2,0
44,3/9/2024 1:09,54.108,75.674,0.3883,0.6,1.5,3,355.2,0
45,3/9/2024 1:24,54.185,75.033,0.3883,0.6,0.74,2.24,353.8,0
46,3/9/2024 1:39,53.645,76.228,0.3877,0.6,0,1.5,353.8,0
47,3/9/2024 1:54,51.984,81.382,0.3877,0.6,0,1.5,353.8,0
48,3/9/2024 2:09,51.676,82.655,0.3877,0.6,0,0.74,352.4,0
49,3/9/2024 2:24,51.753,81.227,0.3877,0.6,0.74,2.24,18.3,0
50,3/9/2024 2:39,51.481,81.422,0.3877,0.6,0,1.5,21.1,0
51,3/9/2024 2:54,51.521,81.175,0.3877,0.6,0,1.5,21.1,0
52,3/9/2024 3:09,51.134,81.941,0.3877,0.6,0,2.24,21.1,0
53,3/9/2024 3:24,52.331,78.488,0.3877,0.6,0.74,2.24,355.2,0
54,3/9/2024 3:39,53.026,75.505,0.3877,0.6,0.74,2.24,18.3,0
55,3/9/2024 3:54,53.373,74.81,0.3877,0.6,0.74,2.24,14,0
56,3/9/2024 4:09,53.373,73.512,0.3877,0.6,0.74,2.24,30.9,0
57,3/9/2024 4:24,52.216,76.429,0.3883,0.6,0,0.74,22.5,0
58,3/9/2024 4:39,52.216,76.611,0.3883,0.6,0,1.5,18.3,0
59,3/9/2024 4:54,52.023,76.699,0.3877,0.6,0,2.24,47.7,0
60,3/9/2024 5:09,51.906,76.951,0.3872,0.6,0,1.5,56.2,0
61,3/9/2024 5:24,51.096,79.01,0.3872,0.6,0.74,3,57.6,0
62,3/9/2024 5:39,50.749,79.779,0.3877,0.6,0.74,2.24,28.1,0
63,3/9/2024 5:54,51.174,78.874,0.3877,0.6,0.74,3,32.3,0
64,3/9/2024 6:09,50.479,78.657,0.3877,0.6,0.74,2.24,344,0
65,3/9/2024 6:24,50.131,80.151,0.3872,5.6,0,1.5,341.2,0
66,3/9/2024 6:39,49.744,80.609,0.3872,20.6,0,1.5,352.4,0
67,3/9/2024 6:54,50.749,76.387,0.3872,36.9,0.74,1.5,19.7,0
68,3/9/2024 7:09,51.444,74.794,0.3883,60.6,0.74,2.24,11.2,0
69,3/9/2024 7:24,53.335,71.684,0.3883,156.9,0,1.5,18.3,0
70,3/9/2024 7:39,56.617,69.863,0.3877,249.4,0,1.5,19.7,0
71,3/9/2024 7:54,59.358,64.446,0.3883,289.4,0.74,3,49.1,0
72,3/9/2024 8:09,59.203,75.293,0.3883,278.1,0,2.24,331.3,0
73,3/9/2024 8:24,60.361,71.809,0.3883,465.6,0.74,2.24,214.8,0
74,3/9/2024 8:39,62.6,62.667,0.3872,504.4,0.74,1.5,174.1,0
75,3/9/2024 8:54,64.531,59.535,0.3883,534.4,0.74,3,193.7,0
76,3/9/2024 9:09,65.881,60.342,0.3877,579.4,0.74,2.24,195.1,0
77,3/9/2024 9:24,66.501,56.335,0.3883,606.9,1.5,4.47,205,0
78,3/9/2024 9:39,66.346,66.728,0.3877,643.1,1.5,4.47,196.5,0
79,3/9/2024 9:54,65.304,67.912,0.3883,670.6,1.5,3.74,212,0
80,3/9/2024 10:09,66.616,62.368,0.3877,698.1,0.74,3,196.5,0
81,3/9/2024 10:24,67.001,62.466,0.3883,721.9,1.5,5.23,192.3,0
82,3/9/2024 10:39,67.735,62.56,0.3877,729.4,1.5,3.74,188.1,0
83,3/9/2024 10:54,68.623,58.996,0.3883,749.4,1.5,4.47,212,0
84,3/9/2024 11:09,69.28,57.76,0.3883,744.4,0.74,2.24,209.2,0
85,3/9/2024 11:24,68.468,57.8,0.389,768.1,1.5,3.74,205,0
86,3/9/2024 11:39,67.118,63.505,0.3883,766.9,1.5,5.23,200.8,0
87,3/9/2024 11:54,66.886,61.573,0.389,764.4,2.24,4.47,195.1,0
88,3/9/2024 12:09,66.731,61.238,0.389,745.6,2.24,4.47,181.1,0
89,3/9/2024 12:24,67.35,59.53,0.3895,720.6,2.24,4.47,189.5,0
90,3/9/2024 12:39,68.16,57.218,0.389,739.4,1.5,3,202.2,0
91,3/9/2024 12:54,69.125,60.264,0.3895,703.1,1.5,4.47,186.7,0
92,3/9/2024 13:09,67.928,54.368,0.389,680.6,1.5,4.47,199.4,0
93,3/9/2024 13:24,67.118,56.213,0.3895,670.6,1.5,4.47,182.5,0
94,3/9/2024 13:39,68.43,62.786,0.389,628.1,0.74,3,240.1,0
95,3/9/2024 13:54,69.24,61.759,0.3895,603.1,0.74,2.24,233.1,0
96,3/9/2024 14:09,68.005,57.627,0.3895,571.9,1.5,4.47,213.4,0
97,3/9/2024 14:24,68.468,59.58,0.3895,533.1,0.74,3,235.9,0
98,3/9/2024 14:39,67.465,58.433,0.3902,498.1,0.74,3.74,203.6,0
99,3/9/2024 14:54,65.611,58.505,0.3902,454.4,0.74,3.74,178.3,0
100,3/9/2024 15:09,63.837,61.17,0.3895,360.6,0.74,3,202.2,0
101,3/9/2024 15:24,63.874,62.132,0.3902,76.9,0.74,2.24,251.3,0
102,3/9/2024 15:39,63.334,64.562,0.3895,55.6,0,2.24,8.4,0
103,3/9/2024 15:54,62.717,71.011,0.3895,54.4,0.74,2.24,230.2,0
104,3/9/2024 16:09,61.752,72.161,0.3895,54.4,0.74,3,216.2,0
105,3/9/2024 16:24,61.288,71.304,0.3895,64.4,0,2.24,287.8,0
106,3/9/2024 16:39,61.133,71.35,0.389,59.4,0,2.24,269.6,0
107,3/9/2024 16:54,60.13,70.919,0.3895,43.1,0,2.24,275.2,0
108,3/9/2024 17:09,59.666,70.143,0.3895,34.4,0,1.5,276.6,0
109,3/9/2024 17:24,59.319,69.932,0.389,28.1,0,0,276.6,0
110,3/9/2024 17:39,58.894,71.606,0.3883,18.1,0,0,276.6,0
111,3/9/2024 17:54,57.814,75.036,0.389,6.9,0,0,276.6,0
112,3/9/2024 18:09,56.347,80.301,0.3895,0.6,0,0,279.4,0
113,3/9/2024 18:24,55.305,82.777,0.389,0.6,0,1.5,300.4,0
114,3/9/2024 18:39,54.415,84.587,0.3883,0.6,0.74,1.5,19.7,0
115,3/9/2024 18:54,53.915,85.232,0.3883,0.6,0.74,1.5,25.3,0
116,3/9/2024 19:09,53.413,85.533,0.389,0.6,0.74,2.24,21.1,0
117,3/9/2024 19:24,53.103,84.475,0.389,0.6,0.74,3,14,0
118,3/9/2024 19:39,53.065,84.842,0.3883,0.6,0.74,2.24,19.7,0
119,3/9/2024 19:54,53.258,83.949,0.3877,0.6,0.74,1.5,353.8,0
